CPF;Nome;Nascimento;Idade;Endereço;Cidade;Estado;pontos
051.317.145-24;Thales Augusto Augusto Nogueira;26/1/1945;79;Rua do Espírito Santo 460, Seriema;Caxias;MA;0
075.062.557-07;José Emanuel Renan Gonçalves;6/3/1972;52;Rua Nazaré do Piauí 463, Três Andares;Teresina;PI;0
013.368.226-94;Mariah Clarice Marcela Bernardes;4/3/1959;65;Rua Constelação 469, Raiar do Sol;Boa Vista;RR;0
025.851.989-44;Bianca Sophie Laura Vieira;9/2/1998;26;Rua Capitão Henrique Mascarenhas 224, Nova Brasília de Itapuã;Salvador;BA;0
342.733.401-51;Heloisa Sandra Amanda da Costa;7/1/1986;38;Rua Y 271, Campo Verde;Viana;ES;0
810.201.720-10;Gustavo Theo Assis;5/2/1982;42;Rua 7 968, Itapoã;Aparecida de Goiânia;GO;0
239.236.211-40;Cecília Natália dos Santos;2/2/1988;36;Quadra Quadra 22 817, Parque Nova Friburgo B;Cidade Ocidental;GO;0
552.458.983-06;Vera Pietra Pinto;27/1/1948;76;Beco da Ligação I 879, Preventório;Rio Branco;AC;0
689.327.664-87;Aparecida Lavínia Valentina Monteiro;25/1/1981;43;Rua Professora Antonia Cutrim 917, Pintolândia;Boa Vista;RR;0
380.862.352-70;Benício Guilherme Porto;2/3/1977;47;Rua Paulino Dadalto 210, Santa Cruz;Linhares;ES;0
865.608.499-29;Sarah Laura Silveira;27/2/1968;56;Rua Imperial 689, Jardim Ipanema;Goiânia;GO;0
755.704.343-05;Luna Carolina Jesus;23/2/2005;19;Conjunto Mirian Sigefredo 263, Verde Lar;Teresina;PI;0
323.481.213-60;Eloá Alice Costa;6/3/1966;58;Rua Sílvia Toledo 160, Santa Cruz;Rio de Janeiro;RJ;26859
458.818.131-97;Luzia Camila Clarice Ferreira;6/3/1947;77;Condomínio Residencial Dom Francisco Quadra 13 213, Recanto das Emas;Brasília;DF;0
646.848.545-23;Sarah Fabiana Rezende;19/1/1987;37;Rua Sales Facundo de Lira 528, Jardim Sorrilândia I;Sousa;PB;0
676.840.104-17;Kevin Anderson Edson Martins;15/2/1998;26;Rua Frederico Ornelas Saravy 655, Jardim Itatiaia;Campo Grande;MS;0
447.772.360-13;Antonio Leonardo Jorge Araújo;6/1/1954;70;Praça Ângela Costa Bazzo 390, Pilarzinho;Curitiba;PR;0
232.854.096-14;Esther Elza Esther Lopes;20/1/1945;79;Rua São Luís 630, Jorge Teixeira;Manaus;AM;0
484.376.329-27;Sophia Manuela Elisa Porto;9/2/1946;78;Rua do Amor 559, Vila Alecrim;Caxias;MA;0
749.303.203-30;Raquel Lara Nogueira;2/1/1979;45;Rua Paulo Francis 184, Conceição;Porto Velho;RO;0
024.126.327-15;Victor Alexandre Miguel Almada;23/2/1982;42;Rua Professor James Azevedo 374, Santa Isabel;Teresina;PI;0
441.970.189-75;Lucca Paulo Corte Real;25/2/1945;79;Rua Argentina 660, Vila Permanente;Tucuruí;PA;0
636.390.199-54;Nelson Gabriel Juan Pires;19/1/1955;69;Rua Dourado 887, Plácido de Castro;Rio Branco;AC;0
981.899.195-80;Mariana Alícia Galvão;11/2/1956;68;Rua Sítio Itajubá 513, Barroso;Fortaleza;CE;0
733.564.407-05;Arthur Martin Leonardo Assis;13/1/1998;26;Beco Antônio Serafim 674, Centro;Colatina;ES;60
698.310.047-60;Juliana Yasmin Laura de Paula;16/2/1950;74;Quadra E 704, Cidade Universitária;Maceió;AL;0
958.765.660-12;Carla Raimunda dos Santos;27/1/1958;66;Rua Beija-Flor 559, Camboinha;Cabedelo;PB;0
999.933.860-73;Giovana Lorena Patrícia Jesus;6/3/1961;63;Rua João dos Santos Filho 397, Dois de Abril;Ji-Paraná;RO;0
027.028.554-74;Allana Mariane Cecília Pinto;21/2/1988;36;Rua do Labor 104, Educandos;Manaus;AM;621
977.326.989-24;Enrico João Silva;23/2/1991;33;Avenida Pinheiro Machado 961, Embratel;Porto Velho;RO;0
138.315.337-09;Gabriela Mirella da Paz;12/2/1946;78;Rua Manoel Vieira de Lima 441, Ponte dos Carvalhos;Cabo de Santo Agostinho;PE;0
662.620.708-34;Elisa Isabel Bernardes;9/1/1949;75;Quadra Quadra A 1 758, Cidade Jardim Marília;Luziânia;GO;86
633.597.510-60;Adriana Stefany Fátima Moreira;8/2/1952;72;Rua Pedro Militão Kilkerry 712, Nova Brasília de Valéria;Salvador;BA;0
139.443.093-08;Lucas Vinicius Bruno Drumond;9/3/1994;30;Rua dos Rubis 199, Parque das Gemas;Ariquemes;RO;0
703.304.742-86;Tatiane Francisca Farias;11/2/1997;27;3ª Travessa Abelardo Barbosa 377, Sussuarana;Salvador;BA;0
729.193.743-46;Mário Lorenzo Freitas;22/2/1951;73;Travessa Viena 694, Nossa Senhora do Perpétuo Socorro;Telêmaco Borba;PR;0
873.011.125-05;Patrícia Giovanna Elza Fogaça;10/3/1950;74;Rua MS 14 507, Setor Morada do Sol 3 (Taquaralto);Palmas;TO;0
240.482.799-55;Gabriel Daniel Martin Mendes;6/3/1985;39;Rua Sezínio Uchôa 943, Cruzeiro;Campina Grande;PB;0
944.554.486-24;Vanessa Alessandra Gonçalves;5/3/1955;69;Rua Bom Retiro 767, Conjunto Mariana;Rio Branco;AC;0
062.648.868-07;Pietra Betina Cardoso;6/3/1993;31;Rua Frei Caneca 283, Centro;Laranjeiras do Sul;PR;0
714.751.453-06;Victor Marcos Vinicius Nunes;17/1/1960;64;Rua Maranhão 633, Jardim Progresso;Paranavaí;PR;0
641.624.113-79;Kamilly Raimunda Laura da Costa;7/3/2006;18;Rua Fidalgo Cordeiro 461, Alecrim;Vila Velha;ES;0
386.940.404-33;Iago Lucas Duarte;18/1/1958;66;Rua C 331, Nova Três Lagoas;Três Lagoas;MS;0
486.662.439-61;Severino Bento Sebastião Brito;10/3/1947;77;Beco Valencia 541, São Lázaro;Manaus;AM;0
619.593.408-91;Mariah Clara Adriana Barbosa;6/3/1970;54;Rua Quatro 189, Uglione;Santa Maria;RS;0
709.020.489-88;Marlene Melissa Mirella da Rocha;24/1/1961;63;Rua Aniz Murad 355, Paciência;Rio de Janeiro;RJ;0
563.524.614-17;Bento Renato Melo;27/2/2005;19;1ª Travessa João Cordeiro da Silva Filho 210, Maria Auxiliadora;Caruaru;PE;0
